frame,timestamp_s,motion_score,changed_pct,motion_level
657,21.900,10.715,13.989,Medium
658,21.933,8.565,10.776,Medium
659,21.967,8.435,10.652,Medium
660,22.000,10.862,14.068,Medium
661,22.033,8.501,10.780,Medium
662,22.067,8.614,10.868,Medium
663,22.100,11.093,14.448,Medium
664,22.133,8.709,11.213,Medium
665,22.167,8.723,11.140,Medium
666,22.200,11.060,14.601,Medium
667,22.233,8.705,11.264,Medium
668,22.267,8.837,11.389,Medium
669,22.300,11.324,14.973,Medium
670,22.333,9.054,11.753,Medium
671,22.367,8.768,11.483,Medium
672,22.400,10.719,14.204,Medium
673,22.433,8.249,10.584,Medium
674,22.467,8.404,10.661,Medium
675,22.500,10.710,14.089,Medium
676,22.533,8.279,10.744,Medium
677,22.567,8.382,10.811,Medium
678,22.600,10.331,13.767,Medium
679,22.633,8.189,10.595,Medium
680,22.667,8.427,10.900,Medium
681,22.700,10.492,13.988,Medium
682,22.733,8.478,11.089,Medium
683,22.767,8.478,11.095,Medium
684,22.800,11.049,14.536,Medium
685,22.833,8.654,11.258,Medium
686,22.867,8.689,11.223,Medium
687,22.900,10.951,14.395,Medium
688,22.933,8.421,10.804,Medium
689,22.967,8.534,10.843,Medium
690,23.000,10.480,13.718,Medium
691,23.033,8.375,10.573,Medium
692,23.067,8.315,10.583,Medium
693,23.100,10.560,13.909,Medium
694,23.133,8.246,10.605,Medium
695,23.167,8.326,10.715,Medium
696,23.200,10.393,13.754,Medium
697,23.233,7.955,10.278,Medium
698,23.267,7.938,10.153,Medium
699,23.300,9.857,12.929,Medium
700,23.333,7.590,9.725,Medium
701,23.367,7.701,9.885,Medium
702,23.400,9.673,12.633,Medium
703,23.433,7.562,9.617,Medium
704,23.467,7.684,9.742,Medium
705,23.500,9.716,12.801,Medium
706,23.533,7.454,9.409,Medium
707,23.567,7.385,9.241,Medium
708,23.600,8.807,11.427,Medium
709,23.633,6.968,8.585,Medium
710,23.667,6.788,8.419,Medium
711,23.700,8.548,10.965,Medium
712,23.733,6.781,8.477,Medium
713,23.767,6.926,8.645,Medium
714,23.800,8.666,11.246,Medium
715,23.833,6.866,8.667,Medium
716,23.867,6.897,8.744,Medium
717,23.900,8.575,11.138,Medium
718,23.933,6.650,8.445,Medium
719,23.967,6.787,8.549,Medium
720,24.000,8.966,11.460,Medium
721,24.033,6.887,8.819,Medium
722,24.067,7.029,8.920,Medium
723,24.100,8.990,11.831,Medium
724,24.133,7.047,9.099,Medium
725,24.167,7.352,9.316,Medium
726,24.200,9.222,12.250,Medium
727,24.233,7.313,9.406,Medium
728,24.267,7.255,9.459,Medium
729,24.300,9.132,12.110,Medium
730,24.333,7.124,9.251,Medium
731,24.367,7.250,9.422,Medium
732,24.400,9.127,11.974,Medium
733,24.433,7.271,9.464,Medium
734,24.467,7.377,9.520,Medium
735,24.500,9.344,12.332,Medium
736,24.533,7.390,9.641,Medium
737,24.567,7.365,9.572,Medium
738,24.600,9.347,12.354,Medium
739,24.633,7.066,9.238,Medium
740,24.667,7.204,9.350,Medium
741,24.700,9.187,12.129,Medium
742,24.733,6.990,9.177,Medium
743,24.767,7.199,9.217,Medium
744,24.800,8.839,11.747,Medium
745,24.833,7.038,9.103,Medium
746,24.867,6.931,8.960,Medium
747,24.900,8.821,11.600,Medium
748,24.933,6.803,8.722,Medium
749,24.967,6.770,8.504,Medium
750,25.000,8.478,10.953,Medium
751,25.033,6.391,7.973,Medium
752,25.067,6.548,8.028,Medium
753,25.100,7.989,10.112,Medium
754,25.133,6.427,7.878,Medium
755,25.167,6.445,7.949,Medium
756,25.200,8.291,10.317,Medium
757,25.233,6.309,7.767,Medium
758,25.267,6.556,8.031,Medium
759,25.300,8.150,10.156,Medium
760,25.333,7.009,8.020,Medium
761,25.367,6.423,7.742,Medium
762,25.400,8.067,10.092,Medium
763,25.433,6.514,7.883,Medium
764,25.467,6.512,8.067,Medium
765,25.500,8.318,10.322,Medium
766,25.533,6.459,8.030,Medium
767,25.567,6.587,8.133,Medium
768,25.600,8.462,10.501,Medium
769,25.633,6.544,8.148,Medium
